scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags
Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme-II,dmrnicmasii,"The 'Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme's objective is to abolish caste and community discrimination by encouraging inter-caste marriage by giving financial assistance to newly married couples of whom one spouse is from other community (Forward Community) and the other from the Backward Class / Most Backward Class Community. ﻿","Financial assistance of ₹50,000 given to the newly married couple. 1 Sovereign (8 gm) 22-carat gold coin for making Thirumangalyam. ﻿ Mode of Disbursal: ₹30,000 through Electronic Clearing Service and ₹20,000 in the form of National Savings Certificate.","The couple should belong to a backward class / most backward class community. The bride should have passed the 10th standard. The bride should have studied up to Vth standard in the case of the scheduled tribe. The age of the bride should be above 18 years at the time of marriage. The bride should have a degree passed from regular colleges, distance education/government-recognized open university. The applicant should have a diploma holder passed from the Institution recognized by the Directorate of Technical Education, Government of Tamil Nadu.","Step 1: The applicant should gather copies of the necessary documents needed to apply for the concerned scheme. Step 2: The applicant should visit the nearest Common Service Center (CSC) and complete the Biometric Verification Process. Step 3: In the application form, fill in all the mandatory fields and upload copies of all the mandatory documents. Step 4: Request a receipt or acknowledgment from the CSC. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). Application Deadline: The application should be submitted before the child completes 3 years of age. ﻿",Marriage Invitation or Marriage Registration Certificate. Community Certificates of the bride. Community Certificates of the bridegroom. Age Certificate of the bride. Certificates of Graduates / Diploma.,State,"Women and Child, Social welfare & Empowerment",,"Financial Assistance, Marriage, Inter-Caste, Backward Class"
E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughter’s of Poor Widows: Scheme-I,evrmnmasfdopwsi,"The 'E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughters of Poor Widows: Scheme-I' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The aim is to help poor widow mothers who face financial hardship in conducting their daughter's marriage. The scheme provides financial assistance for the marriage of their daughters.","Financial assistance of ₹25,000/- given to the widow to meet the expenses incurred in the marriage of her daughter. 1 Sovereign (8gm) 22-carat gold coin for making Thirumangalyam (Mangalsutra). Mode of Disbursal: Through Electronic Clearing Service. NOTE: The benefit can be given to the bride in case of the death of the widowed mother. ﻿","The applicant should be a Widow. The applicant should be the mother of a girl child. The annual income of the family should not exceed ₹72,000/-. The age of the widow's daughter should be above 18 years. The allowance is granted for the marriage of one daughter only.","Step 1: The applicant should gather copies of the necessary documents (self-attest if required) needed to apply for the concerned scheme. Step 2: The applicant should visit the nearest Common Service Center (CSC) and complete the Biometric Verification Process. Step 3: In the application form, fill in all the mandatory fields and upload copies of all the mandatory documents. Step 4: Request a receipt or acknowledgement from the CSC. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: The applications are processed within 15 days from the date of receipt. Deadline for Application The application should be submitted 40 days before the marriage date. Applications received on or after the date of marriage will not be entertained. NOTE: In exceptional circumstances, the application can be submitted one day before the marriage date. ﻿","1. Death Certificate of husband (to be obtained from Corporation / Municipality) 2. Widow Certificate (to be obtained from Tahsildar) 3. Income Certificate (issued by the Tahsildar) 4. Passport-size photograph of the Applicant. 5. Age Certificate of the Bride. 6. Marriage Invitation. 7. Bills towards purchase of marriage articles for less than ₹10,000/- NOTE: Beneficiaries getting a widow pension under the Social Security Pension Scheme don't need to provide a window certificate and income certificate. ﻿",State,"Women and Child, Social welfare & Empowerment",,"Widow, Marriage, Financial Assistance, Daughter"
E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughter’s of Poor Widows: Scheme-II,evrmnmasfdopwsii,"The ""E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughters of Poor Widows: Scheme-II"" was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The aim is to help poor widow mothers who face financial hardship in conducting their daughter's marriage. The scheme provides financial assistance ₹50,000/- along with one sovereign (8gm) 22-carat gold coin for making Thirumangalyam for the marriage of their daughters.","Financial assistance of ₹50,000/- for marriage expenses. 1 Sovereign (8gm) 22-carat gold coin for making Thirumangalyam. Mode of Disbursal: Through Electronic Clearing Service. ﻿ NOTE: The benefit can be given to the bride in case of the death of the widowed mother.","The applicant should be a Widow. The applicant should be the mother of a girl child. The annual income of the family should not exceed ₹72,000/-. The age of the bride should be above 18 years. The allowance is granted for the marriage of one daughter only. The bride should be one of the following: A degree holder from regular colleges, distance education/government-recognized open university. A diploma holder from the Institution recognized by the Directorate of Technical Education, Government of Tamil Nadu.","Step 1: The applicant should gather copies of the necessary documents (self-attest if required) needed to apply for the concerned scheme. Step 2: The applicant should visit the nearest Common Service Center (CSC) and complete the Biometric Verification Process. Step 3: In the application form, fill in all the mandatory fields and upload copies of all the mandatory documents. Step 4: Request a receipt or acknowledgement from the CSC. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: The applications are processed within 15 days from the date of receipt. Deadline for Application The application should be submitted 40 days before the marriage date. Applications received on or after the date of marriage will not be entertained. NOTE: In exceptional circumstances, the application can be submitted one day before the marriage date.","1. Death Certificate of husband (to be obtained from Corporation / Municipality) 2. Widow Certificate (to be obtained from Tahsildar) 3. Income Certificate (issued by the Tahsildar) 4. Passport-size photograph of the Applicant. 5. Age Certificate of the Bride. 6. Marriage Invitation. 7. Bills towards purchase of marriage articles for less than ₹10,000/- NOTE: Beneficiaries getting a widow pension under the Social Security Pension Scheme don't need to provide a window certificate and income certificate.",State,"Women and Child, Social welfare & Empowerment",,"Widow, Financial Assistance, Marriage, Daughter"
Early Intervention Center for the Children with Intellectually Disabled,eiccid,"The ""Early Intervention Center for the Children with Intellectually Disabled"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. Early intervention Center for children with intellectual disabilities have been established in all the districts to benefit 50 children in each district, except Dharmapuri. These centers have been established through NGOs. Objective The main objective of these Center is to identify children with intellectual disability and children with allied disabilities at birth and to provide early intervention. ﻿",Early intervention provides to children with intellectual disabilities.,The beneficiary child's age should be 6 years or below. The child with intellectual disability and allied disabilities is eligible.,"Step 1: The parents/guardian should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",National Identity Card of the Differently Abled. Birth Certificate. Any Other Document If Required.,State,Social welfare & Empowerment,,"Disability, Young Children, Infant, Intellectual"
"Early Intervention Centre for Children with Cerebral Palsy in SRTC, Chennai and Tiruchirapalli Districts",eicccpsrtcctd,"The ""Early Intervention Centre for Children with Cerebral Palsy in SRTC, Chennai and Tiruchirapalli Districts"" was launched by the Department for the Welfare of Differently Abled Persons, Tamil Nadu. Under this scheme, stimulation training is given to the children affected with cerebral palsy in the age group of below 6 years. The applications are accepted offline in the prescribed form available at the District Differently Abled Welfare Office. ﻿",Early intervention provides stimulation training to the children.,The young child/infants should be affected with cerebral palsy. The age of a young child/infant should be 6 years or below.,"Step 1: The parents/guardian should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",National Identity Card of the Differently Abled. Birth Certificate. Any Other Document If Required.,State,"Social welfare & Empowerment, Skills & Employment",,"Differently Abled Person, Cerebral Palsy, Children, Infants"
Early Intervention Centre for Infants and Young Children with Hearing Impairment,eicfiaycwhi,"The ""Early Intervention Centre for Infants and Young Children with Hearing Impairment"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. This scheme has established early intervention centres for infants and young children with hearing impairment in all districts except Thiruppur and Ramanathapuram. These centres provide training to develop speech and language skills, aiming to integrate children into regular schools by the time they reach 5 years old.",Infants and young children with hearing impairment are given the training to develop speech and language skills.,The beneficiary child should be between 0-6 years. The beneficiary child should have hearing impairment. The beneficiary child should not have any other disabilities.,"Step 1: The parents/guardian should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",National Identity Card of the Differently Abled. Birth Certificate. Any Other Document If Required.,State,"Social welfare & Empowerment, Skills & Employment",,"Disability, Young Children, Hearing Impairment, Infant"
Early Intervention Centre for the Visually Impaired,eicftvi,"The ""Early Intervention Centre for the Visually Impaired"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. Under this scheme, visually impaired children are identified, assessed and prepared to join main stream education. Early intervention centre for the visually impaired has been established in 6 Districts Chennai, Coimbatore, Cuddalore, Thiruchirapalli, Thiruvannamalai and Vellore.",Early Intervention Centre identified the visually impaired children to join main stream education.,The beneficiary child should be visually impaired. The beneficiary child's age should be 6 years or below.,"Step 1: The parents/guardian should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",National Identity Card of the Differently Abled. Birth Certificate. Any Other Document If Required.,State,"Social welfare & Empowerment, Education & Learning",,"Differently Abled Person, Visually Impaired, Social Welfare, Education"
Early Intervention Centres for Children with Autism,eicca,"The ""Early Intervention Centres for Children with Autism"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. Under this scheme, Early intervention programme emphasizes attending to social stimuli, imitation skills, language comprehension and usage, appropriate play skills etc., EIC centers have been established at SRTC-Chennai and other locations, including RSRTC-Tiruchirapalli, Tirunelveli, Kanniyakumari, Thanjavur, Kancheepuram, Thiruvallur, Salem, Namakkal, Madurai, Erode, Coimbatore, Vellore, Thuthukudi, Villupuram, Virudhunagar, Cuddalore, Dindigul, and Thiruvannamalai. There is a need for early intervention to effectively combat the incidence of autism. ﻿","Early intervention helps children with Autism by addressing social stimuli, imitation skills, language comprehension and usage, and appropriate play skills.",A beneficiary child should be between 0-6 years old. A beneficiary child should be affected by autism.,"Step 1: The parents/guardian should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",National Identity Card of the Differently Abled. Birth Certificate. Any Other Document If Required.,State,"Social welfare & Empowerment, Skills & Employment",,"Autism, Differently Abled Person, Skill, Social Welfare"
Education Assistance - Folk Artist,eafa,"The ""Education Assistance - Folk Artist"" scheme was launched by the Art and Culture Department, Government of Tamil Nadu. This scheme provides financial assistance for the education of the children of registered folk artists. The assistance aims to support the educational pursuits of their children from school to higher education, including vocational and professional courses.","Financial Assistance for the children of registered folk artistes Girl and Boy children studying 10th - ₹1,000/- Girl children studying 11th - ₹1,000/- Girl and Boy children studying 12th - ₹1,500/- Regular Degree Course with Hostel facility - ₹3,250/- Regular Post Graduate Course with Hostel facility - ₹5,000/- Professional Degree Course with Hostel facility - ₹6,000/- Professional PG Course with Hostel facility - ₹10,000/- ITI or Polytechnic Course with Hostel Facility - ₹2,200/- ﻿","The registered folk artist's son or daughter. The registered folk artist must have no dues payable to the Board. The registered folk artist's son or daughter should be studying in a government or government-recognized institution. Assistance is available for up to two children per family. If both husband and wife are registered folk artists, only one of them is eligible for this assistance.","Step 1: The interested applicant should visit (during office hours) the regional office and request the hard copy of the prescribed format of the application form X(son or daughter), XI(daughter), XII(son or daughter) from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Director/Deputy Director in the regional offices. Step 4: Request a receipt or acknowledgment from the Assistant Director/Deputy Director to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Registration Card of the Folk Artist. Certificate from the Educational Institution Head or Officer. Certificate from the Hostel Warden. Proof of Studying.,State,"Education & Learning, Sports & Culture",,"Student, Financial Assistance, Artist"
Employees Cooperative Societies Surety Loan,ecssl,"The ""Employees Cooperative Societies Surety Loan"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to provide a maximum loan amount of ₹1,50,000/- at an interest rate of 14% (subject to change) through surety loans from the Employees Cooperative Societies. The purpose of this scheme is to extend loans to eligible citizens for financial support. ﻿","Access to Loan: Surety loans up to ₹1,50,000/-. Interest Rate: 14% (subject to change). ﻿",The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a member of an Employees Cooperative Society. The beneficiary should be interested in availing Employees Cooperative Societies Surety loan. ﻿,"Step 1: The interested applicant should collect the application form by contacting the Secretary/ Special Officer of the office of the Employees Cooperative Society. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority.. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and unique identification number (if applicable).","Identity proof (Aadhaar, PAN card, etc.). Address proof. Proof of employment or Income Certificate (if applicable). Any other documents (if required). ﻿",State,"Banking,Financial Services and Insurance",,"Surety Loan, Employees Cooperative Societies"
Establishing Aavin Parlour for Differently Abled Persons,eapfdap,"The 'Establishing Aavin Parlour for Differently Abled Persons' scheme was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. The scheme aims to create self-employment avenues for differently abled persons, the government has issued orders for establishing Aavin parlour for differently abled persons to sell Aavin products.","The government has issued orders for establishing Aavin parlour for differently-abled persons to sell Aavin brand products like milk, butter, curd, etc.",The applicant should be a differently abled person. The applicant's age should be 18 years or above. ﻿,"Step 1: The interested applicant should visit (during office hours) the District Differently Abled Welfare Office and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",National Identity Card of the Differently Abled. Family Card.,State,"Social welfare & Empowerment, Skills & Employment",,"Employment, Differently Abled Person, Aavin Parlour"
Farmers Interest Group (FIG),fig,"The “Farmers Interest Group (FIG)” scheme, by the Agriculture-Farmers Welfare Department, Tamil Nadu, supports every group of 15 farmers with grants for agricultural development. The scheme offers financial assistance for purchasing office equipment, training, ID cards, and district-level meetings. ﻿","Office Equipment: ₹5,000/- per group for purchasing office equipment, technical bulletins, and setting up a library. Training and Skill Acquisition: ₹4000/- per group for training and skill acquisition by farmer members. ID Cards: ₹400/- per group for issuing ID cards to members. District-Level Meetings: ₹20,000/- per group for conducting district-level meetings.",The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu. The beneficiary should be part of a Farmer’s group of 15 farmers.,"Step 1: Collect the application form from the nearest Agricultural Office. Step 2: Fill out the application form with the required details and attach mandatory documents (self-attested, if required). Step 3: Submit the form to the concerned office: Village Level: Submit the application to the Assistant Agricultural Officer. Block Level: Submit to the Agricultural Officer or Deputy Agricultural Officer. District Level: Submit to the Joint Director of Agriculture. ﻿","Proof of Identity (Aadhar Card, Voter ID, etc.). Proof of Land Ownership. Group registration details. Any other documents (if required).",State,"Agriculture,Rural & Environment",,"Agriculture, Farmer, Farmers Interest Group, FIG"
Farmers Training,ft,"The “Farmers Training” scheme, by the Agriculture-Farmers Welfare Department, Tamil Nadu, offers training to farmers and agricultural laborers to enhance their skills and knowledge. Each training session supports up to 50 participants, with a grant of ₹5,000/- provided per session to cover the costs. ﻿","Financial assistance: ₹5,000/- per training session of 50 Farmers/Agricultural labourers.",The beneficiary should be a Farmer. The beneficiary should be a resident of Tamil Nadu. The beneficiary should have interest in joining the training to enhance agricultural skills.,"Step 1: Collect the application form from the nearest Agricultural Office. Step 2: Fill out the application form with the required details and attach mandatory documents (self-attested, if required). Step 3: Submit the form to the concerned office: Village Level: Submit the application to the Assistant Agricultural Officer. Block Level: Submit to the Agricultural Officer or Deputy Agricultural Officer. District Level: Submit to the Joint Director of Agriculture.","Proof of Identity (Aadhar Card, Voter ID, etc.). Proof of farming or agricultural labor status. Any other documents (if required).",State,"Agriculture,Rural & Environment",,"Agriculture, Farmer, Training"
Financial Assistance for Medical Treatment of Journalists,famtj,"The Tamil Development, Religious Endowments, and Information Department scheme was launched by the ""Financial Assistance for Medical Treatment of Journalists"".  Under this scheme, financial assistance was provided to four Journalists for medical treatment and to the daughter of a journalist for surgery. The total financial assistance extended under the scheme was ₹50,000/-.","Medical Assistant of ₹50,000/-.",The petitioner should be working as a full-time working journalist. The petitioner should have work experience of at least 5 years. The petitioner must apply within three months of undergoing medical treatment. The annual income shall not be taken into account for obtaining medical assistance funds for journalists. The treatment must be conducted in hospitals recognized by the Tamil Nadu State Hospital Organization. The retired journalist receiving government pension are eligible to apply but they will receive 50% of the financial assistance.,"Step 1: The interested applicant can download the application form from the official website. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Information and Public Relations Officer. Step 4: Request a receipt or acknowledgment from the District Information and Public Relations Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE 1: If there is less space for writing details in the forms, write the details on a separate sheet of paper and attach it to the application. NOTE 2: Candidate should send two completed application forms with all details duly filled and attached with relevant certificates.","Proof of employment / Copy of government order issued for receiving pension (only if receiving pension) Income Certificate Experience Certificate Residential Certificate - Copy of family card / Voter ID card Two photographs Treatment Certificate (A certificate from a recognized hospital regarding the disease from which the applicant is suffering) Tentative Cost Copy (the type of treatment/surgery required, and an approximate estimate of the cost of surgery, with the doctor's and hospital's round seal, should be attached to the application)",State,"Health & Wellness, Social welfare & Empowerment",,"Medical, Financial Assistance, Daughter, Disease"
Financial Assistance on the Natural Death of Differently Abled Person,faotndodap,"The scheme ""Financial Assistance on the Natural Death of Differently Abled Person"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. Through this scheme, financial assistance of ₹15,000/- is provided to the legal heir in the event of the natural death of the differently-abled person. The applications are accepted offline in the prescribed form available at the District Differently Abled Welfare Office.","Financial Assistance of ₹15,000/- to the legal heir.","The applicant should be the legal heir of the differently abled person. The differently-abled person should have died a natural death. The differently abled person should have been a registered member of the ""Welfare Board for the Differently-abled"".","Step 1: The interested applicant should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgement from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Death Certificate. Legal Heir Certificate. Differently Abled Person Original National Identity Card (issued by the welfare board for the differently abled). ﻿,State,Social welfare & Empowerment,,"Financial Assistance, Differently Abled, Death"
Financial Assistance to Meet the Funeral Expenses of Differently Abled Person,fatmtfeodap,"The scheme ""Financial Assistance to Meet the Funeral Expenses of Differently Abled Person"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. In this scheme, financial assistance of ₹2,000/- is provided to the legal heir of the deceased differently abled person, to meet the expenses in connection with the funeral.","Financial assistance of ₹2,000/- is paid to the legal heir of the deceased.","The applicant should be the legal heir of the differently abled person. The differently abled person should be deceased. The differently abled person should have been a registered member of the Welfare Board for the Differently Abled"".","Step 1: The interested applicant should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgement from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Death Certificate. Legal Heir Certificate. Original National Identity Card of the Differently Abled Person, issued by the Welfare Board for the Differently Abled. ﻿",State,Social welfare & Empowerment,,"Financial Assistance, Death, Disability, Funeral"
Financial Assistance to Non Governmental Organisations,fatngo,"The Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu launched the scheme ""Financial Assistance to Non Governmental Organisations"". Under this scheme, funds are sanctioned to schools for children with an intellectual disability run by NGOs towards feeding charges, rent, and construction/extension of buildings. ﻿","Financial assistance is given to the NGO for feeding charges, rent, and construction/extension of building.","The school for children with intellectual disability should have functioned for a minimum period of 5 years. The school should be registered under section 51 of the Rights of Persons with Disability Act,2016. ﻿","Step 1: The interested NGO should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Registration Certificate (under Section 51  of the Rights of Persons with Disability Act,2016). Any Other Document If Required.",State,"Social welfare & Empowerment, Business & Entrepreneurship, Education & Learning",,"NGO, Children, School, Person With Disability"
Fitter Training to Hearing Impaired Persons,ftthip,"The scheme ""Fitter Training to Hearing Impaired Persons"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. The scheme aims to give fitter training to the hearing-impaired candidates at the ITI, Guindy for two years and a stipend of ₹300/- per month. The applications are accepted offline in the prescribed form available at the District Differently Abled Welfare Office.","Fitter training is given to the hearing-impaired candidates at the ITI, Guindy for 2 years. A stipend of ₹300/- per month is given to the trainees.",The applicant should be a hearing-impaired person. The applicant should pass the 10th standard. The applicant should be between 18 and 25 years of age.,"Step 1: The interested applicant should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the Commissioner for Welfare of the Differently Abled. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",National Identity Card. Educational Certificate. Community Certificate. Transfer Certificate.,State,"Social welfare & Empowerment, Skills & Employment",,"Hearing Impaired, Training, Stipend, Person With Disability, ITI"
Free Education Scheme,fes,"The ""Free Education Scheme"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to support Backward Classes (BC), Most Backward Classes (MBC), and De-notified Communities (DNC) students in pursuing higher education without the burden of fees. It covers all special fees, non-refundable compulsory fees, and examination fees for students enrolled in 3-year undergraduate programs (B.A., B.Sc., B.Com.) in Government and Government Aided Arts and Science Colleges.",Financial Assistance: Special fees and other non-refundable compulsory fees are paid as prescribed by Government and examination fee in full.,"The beneficiary should be a student. The beneficiary should be a resident of Tamil Nadu. The beneficiary should belong to the Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The beneficiary should be studying 3-year undergraduate degree (B.A., B.Sc., B.Com.). The beneficiary should be enrolled in a Government or Government Aided Arts and Science College.","Step-1: The interested applicant should collect the application form from the concerned educational institute. Step-2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the institution. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate. Admission letter or proof of enrollment (Government or Government Aided Arts and Science College). Bank account details for fee reimbursement. Previous academic records (as required by the college). Any other documents (if required).,State,Education & Learning,,"Backward Class, Student Finance, Scholarship"
"Free Education Scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary, and Law)",fesfpc,"The ""Free Education Scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary, and Law)"" launched on 7th May, 2012, by the Backward Classes, Most Backward Classes and Minorities Welfare Department, Tamil Nadu, is designed to assist students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The scheme covers tuition fees, special fees, and non-refundable compulsory fees as prescribed by the government, along with the full examination fee.",Financial Assistance: Full payment of tuition fees. Coverage of special and other non-refundable compulsory fees. Full reimbursement of examination fees as per government norms. ﻿,"The beneficiary should be a student. The beneficiary should be a resident of Tamil Nadu. The beneficiary should belong to the Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC). The beneficiary should be pursuing a professional course in a Government/Government Aided or Self-Financing college. The beneficiary’s family income should not exceed ₹1,00,000/- annually. There should be no graduate in the family.","Step-1: The interested applicant should collect the application form from the concerned educational institute. Step-2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the institution. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate. Admission letter or proof of enrollment (Government or Government Aided Arts and Science College). Bank account details for fee reimbursement. Income Certificate (proving family income is below ₹1,00,000/-). No Graduate Certificate (self-declaration or from a gazetted officer) Previous academic records (as required by the college). Any other documents (if required). ﻿",State,Education & Learning,,"Minority Welfare, Scholarship, Education"
